"","log.rate.exp","r1.taft.value","r1.es.value","r1.hammett.value","r2.taft.value","r2.es.value","r2.hammett.value"
"1",36.6,0,0,0,-0.49,-1.18,0
"2",25.7,0,0,0,-0.56,-1.34,0
"3",22.8,0,0,0,-0.63,-1.59,0
"4",21.8,0,0,0,-0.62,-1.38,0
"5",10.9,0,0,0,-0.65,-1.62,0
"6",0.179,-0.49,-1.18,0,-0.49,-1.18,0
"7",0.11,-0.49,-1.18,0,-0.56,-1.34,0
"8",0.097,-0.49,-1.18,0,-0.63,-1.59,0
"9",0.07,-0.49,-1.18,0,-0.62,-1.38,0
"10",0.026,-0.49,-1.18,0,-0.65,-1.62,0
"11",0.0174,-0.49,-1.18,0,-0.64,-2.36,0
"12",0.026,-0.49,-1.18,0,-0.59,-1.59,0
"13",0.0015,-0.49,-1.18,0,-0.74,-2.93,0
"14",10.33,-0.49,-1.18,0,0.04,-3.15,0
"15",3.01,-0.49,-1.18,0,0.02,-4.1,0
"16",0.855,-0.49,-1.18,0,-0.62,-1.38,0
"17",0.209,-0.49,-1.18,0,-0.33,-1.42,0
"18",0.0717,-0.49,-1.18,0,-0.37,-2.5,0
"19",0.004,-0.49,-1.18,0,-0.8,-3.4,0
"20",0.365,-0.49,-1.18,0,0.03,-3.2,0
"21",0.197,-0.49,-1.18,0,-0.26,-1.64,0
"22",1.37,-0.49,-1.18,0,0.16,-2.92,0
"23",36.7,0.53,-1.36,0,-0.56,-1.34,0
"24",5920,0.53,-1.36,0,0.16,-2.92,-0.34
"25",2830,1.47,-2.06,0,-0.49,-1.18,0
"26",883,1.47,-2.06,0,-0.56,-1.34,0
"27",12800,0.53,-1.36,0,0.16,-2.92,0
"28",4500,1.55,-1.6,0,-0.56,-1.34,0
"29",0.92,0.05,-1.54,0,-0.56,-1.34,0
"30",4.2,0.84,-2.4,0,-0.56,-1.34,0
"31",12.8,0.85,-2.65,0,-0.56,-1.34,0
"32",30.2,0.38,-1.57,0,-0.56,-1.34,0
"33",17.3,0.38,-1.57,0,-0.49,-1.18,0
"34",0.087,-0.56,-1.34,0,-0.56,-1.34,0
"35",0.038,-0.63,-1.59,0,-0.56,-1.34,0
"36",0.023,-0.65,-1.62,0,-0.56,-1.34,0
"37",0.14,0.04,-3.15,0,-0.49,-1.18,0
"38",0.0755,0.04,-3.15,0,-0.56,-1.34,0
"39",0.053,0.04,-3.15,0,-0.62,-1.38,0
"40",0.75,0.04,-3.15,0,0.16,-2.92,0
"41",1.81,0.04,-3.15,0,0.16,-2.92,0.23
"42",3.58,0.04,-3.15,0,0.16,-2.92,0.48
"43",5.61,0.04,-3.15,0,0.16,-2.92,-0.04
"44",8.75,0.04,-3.15,0,0.16,-2.92,-0.34
"45",0.028,-0.13,-3.2,0,-0.49,-1.18,0
"46",0.028,-0.13,-3.2,0,-0.49,-1.18,0
"47",0.0136,-0.13,-3.2,0,-0.56,-1.34,0
"48",0.0146,-0.13,-3.2,0,-0.56,-1.34,0
"49",0.059,0.02,-4.1,0,-0.49,-1.18,0
"50",0.0054,-0.25,-3.2,0,-0.49,-1.18,0
"51",4.47,0.63,-3.2,0,-0.56,-1.34,0
"52",0.407,0.63,-3.2,0,-0.56,-1.34,0
"53",0.0123,-0.13,-3.2,0,-0.63,-1.59,0
"54",0.0039,-0.13,-3.2,0,-0.65,-1.62,0
"55",0.0111,-0.13,-3.2,0,-0.62,-1.38,0
"56",0.0102,-0.13,-3.2,0,-0.62,-1.81,0
"57",0.0023,-0.13,-3.2,0,-0.64,-2.36,0
"58",0.0099,-0.13,-3.2,0,-0.48,-1.38,0
"59",4.68,0.23,-2.1,0,-0.56,-1.34,0
"60",0.568,0.81,-3.29,0,-0.56,-1.34,0
"61",0.03,0.16,-2.92,0,-0.56,-1.34,0
"62",0.0062,0.16,-2.92,0,-0.65,-1.62,0
"63",0.031,0,-0.88,0,-0.49,-1.18,0
"64",0.017,0,-0.88,0,-0.56,-1.34,0
"65",0.0026,0,-0.88,0,-0.65,-1.62,0
"66",1.16,0,-0.88,0,0.16,-2.92,-0.34
"67",0.102,0,-0.88,0,0.16,-2.92,-0.28
"68",0.077,0,-0.88,0,-0.49,-1.18,0
"69",0.00344,0,-0.88,0,-0.56,-1.34,0
"70",0.000591,0,-0.88,0,-0.65,-1.62,0
