smiles,HT.type,sigma.selection,sub.smiles,tanimoto,index,value
*C1=CC=CC=C1,taft,A,*C1=CC=CC=C1,1,182,0.16
*C1=CC=CC=C1,taft,B,*C1=CC=CC=C1,1,182,0.26
*C1=CC=CC=C1,taft,C,*C1=CC=CC=C1,1,182,0.26
*C1=CC=CC=C1,taft,D,*C1=CC=CC=C1,1,182,0.26
*C1=CC=CC=C1,taft,E,*C1=CC=CC=C1,1,182,0.17
*C1=CC=CC=C1,taft,F,*C1=CC=CC=C1,1,182,0.11
*C1=CC=CC=C1,taft,G,*C1=CC=CC=C1,1,182,0.26
*C1=CC=CC=C1,taft,H,*C1=CC=CC=C1,1,182,0.11
*C1=CC=CC=C1,es,A,*C1=CC=CC=C1,1,182,-2.92
*C1=CC=CC=C1,es,B,*C1=CC=CC=C1,1,182,-3.4
*C1=CC=CC=C1,es,C,*C1=CC=CC=C1,1,182,-3.4
*C1=CC=CC=C1,es,D,*C1=CC=CC=C1,1,182,-3.4
*C1=CC=CC=C1,es,E,*C1=CC=CC=C1,1,182,-2.92
*C1=CC=CC=C1,es,F,*C1=CC=CC=C1,1,182,-3.42
*C1=CC=CC=C1,es,G,*C1=CC=CC=C1,1,182,-3.4
*C1=CC=CC=C1,es,H,*C1=CC=CC=C1,1,182,-2.92
*C1=CC=CC=C1,inductive,A,*C1=CC=CC=C1,1,182,0.12
*C1=CC=CC=C1,inductive,B,*C1=CC=CC=C1,1,182,0.12
*C1=CC=CC=C1,inductive,C,*C1=CC=CC=C1,1,182,0.12
*C1=CC=CC=C1,inductive,D,*C1=CC=CC=C1,1,182,0.13
*C1=CC=CC=C1,inductive,E,*C1=CC=CC=C1,1,182,0.12
*C1=CC=CC=C1,inductive,F,*C1=CC=CC=C1,1,182,0.12
*C1=CC=CC=C1,inductive,G,*C1=CC=CC=C1,1,182,0.12
*C1=CC=CC=C1,inductive,H,*C1=CC=CC=C1,1,182,0.08
