"","log.rate.exp","r1.taft.value","r1.es.value","r2.taft.value","r2.es.value","r2.hammett.value"
"1",1.56348108539441,0,0,-0.49,-1.18,0
"2",1.40993312333129,0,0,-0.56,-1.34,0
"3",1.35793484700045,0,0,-0.63,-1.59,0
"5",1.03742649794062,0,0,-0.65,-1.62,0
"6",-0.747146969020107,-0.49,-1.18,-0.49,-1.18,0
"7",-0.958607314841775,-0.49,-1.18,-0.56,-1.34,0
"8",-1.01322826573376,-0.49,-1.18,-0.63,-1.59,0
"9",-1.15490195998574,-0.49,-1.18,-0.62,-1.38,0
"11",-1.7594507517174,-0.49,-1.18,-0.64,-2.36,0
"12",-1.58502665202918,-0.49,-1.18,-0.59,-1.59,0
"15",0.478566495593843,-0.49,-1.18,0.02,-4.1,0
"16",-0.0680338852718274,-0.49,-1.18,-0.62,-1.38,0
"17",-0.679853713888946,-0.49,-1.18,-0.33,-1.42,0
"18",-1.1444808443322,-0.49,-1.18,-0.37,-2.5,0
"19",-2.39794000867204,-0.49,-1.18,-0.8,-3.4,0
"20",-0.437707135543525,-0.49,-1.18,0.03,-3.2,0
"22",0.136720567156407,-0.49,-1.18,0.16,-2.92,0
"23",1.56466606425209,0.53,-1.36,-0.56,-1.34,0
"24",3.77232170672292,0.53,-1.36,0.16,-2.92,-0.34
"25",3.45178643552429,1.47,-2.06,-0.49,-1.18,0
"27",4.10720996964787,0.53,-1.36,0.16,-2.92,0
"28",3.65321251377534,1.55,-1.6,-0.56,-1.34,0
"29",-0.0362121726544447,0.05,-1.54,-0.56,-1.34,0
"31",1.10720996964787,0.85,-2.65,-0.56,-1.34,0
"33",1.2380461031288,0.38,-1.57,-0.49,-1.18,0
"34",-1.06048074738138,-0.56,-1.34,-0.56,-1.34,0
"35",-1.42021640338319,-0.63,-1.59,-0.56,-1.34,0
"36",-1.63827216398241,-0.65,-1.62,-0.56,-1.34,0
"37",-0.853871964321762,0.04,-3.15,-0.49,-1.18,0
"38",-1.12205304837081,0.04,-3.15,-0.56,-1.34,0
"39",-1.27572413039921,0.04,-3.15,-0.62,-1.38,0
"40",-0.1249387366083,0.04,-3.15,0.16,-2.92,0
"41",0.257678574869184,0.04,-3.15,0.16,-2.92,0.23
"42",0.553883026643874,0.04,-3.15,0.16,-2.92,0.48
"43",0.748962861256161,0.04,-3.15,0.16,-2.92,-0.04
"44",0.942008053022313,0.04,-3.15,0.16,-2.92,-0.34
"46",-1.55284196865778,-0.13,-3.2,-0.49,-1.18,0
"47",-1.86646109162978,-0.13,-3.2,-0.56,-1.34,0
"48",-1.83564714421556,-0.13,-3.2,-0.56,-1.34,0
"49",-1.22914798835786,0.02,-4.1,-0.49,-1.18,0
"50",-2.26760624017703,-0.25,-3.2,-0.49,-1.18,0
"51",0.650307523131936,0.63,-3.2,-0.56,-1.34,0
"52",-0.39040559077478,0.63,-3.2,-0.56,-1.34,0
"56",-1.99139982823808,-0.13,-3.2,-0.62,-1.81,0
"57",-2.63827216398241,-0.13,-3.2,-0.64,-2.36,0
"58",-2.00436480540245,-0.13,-3.2,-0.48,-1.38,0
"59",0.670245853074124,0.23,-2.1,-0.56,-1.34,0
"60",-0.245651664288981,0.81,-3.29,-0.56,-1.34,0
"62",-2.20760831050175,0.16,-2.92,-0.65,-1.62,0
"63",-1.50863830616573,0,-0.88,-0.49,-1.18,0
"64",-1.76955107862173,0,-0.88,-0.56,-1.34,0
"65",-2.58502665202918,0,-0.88,-0.65,-1.62,0
"66",0.0644579892269184,0,-0.88,0.16,-2.92,-0.34
"67",-0.991399828238082,0,-0.88,0.16,-2.92,-0.28
"69",-2.46344155742847,0,-0.88,-0.56,-1.34,0
"70",-3.22841251911874,0,-0.88,-0.65,-1.62,0
